Charge	X	Y	Z	V-X	V-Y	V-Z
1	256047	122623	0	0.542392	0.968077	0.691021
1	121767	383422	0	0.35958	0.913081	0.914179
1	188652	226508	0	0.319478	-0.258988	0.728011
1	77468	37000	0	-0.976195	0.135018	0.746322
1	296738	287411	0	0.408899	-0.986938	0.644204
1	76266	31946	0	-0.31142	-0.991455	0.617591
1	40793	143986	0	0.520967	0.546481	0.17976
1	216581	301547	0	0.714643	0.996643	0.629738
1	136322	18225	0	-0.0253922	0.563572	0.753586
1	239485	288351	0	-0.51175	0.489532	0.0860648
1	79567	241755	0	0.839651	0.848257	0.661539
1	200336	27442	0	-0.600195	0.191723	0.373314
1	50084	184221	0	-0.044009	0.850333	0.267717
1	78807	119742	0	-0.46652	0.184215	0.374107
1	159407	361729	0	0.0657389	0.0182506	0.828481
1	163184	367589	0	0.983214	-0.578832	0.641519
1	355297	341013	0	-0.679729	-0.934383	0.325093
1	233098	352317	0	-0.89544	0.233107	0.116218
1	267164	46546	0	-0.443203	-0.506806	0.844107
1	307493	321237	0	0.686993	-0.618385	0.251236
1	276421	25269	0	0.522493	0.330648	0.107428
1	297759	271285	0	0.23677	-0.409449	0.270707
1	154041	177739	0	-0.0849661	0.990905	0.981871
1	242672	317392	0	-0.44595	-0.487823	0.183422
1	215719	274483	0	-0.0418116	0.583959	0.419825
1	34520	365526	0	0.801013	0.0309467	0.351218
1	182152	292770	0	0.481963	0.276689	0.575352
1	175084	223761	0	0.562046	0.900812	0.112739
1	17084	81875	0	0.389977	-0.445279	0.0253922
1	346743	229145	0	0.230239	0.221327	0.459196
1	51876	343455	0	0.211561	0.794055	0.377281
1	10436	94070	0	-0.336629	0.413172	0.27083
1	18400	249067	0	0.40835	0.628762	0.295611
1	175175	32667	0	-0.297931	0.422633	0.429714
1	68053	258345	0	-0.514802	0.470244	0.391992
1	51422	166240	0	0.0644571	-0.892633	0.452847
1	350668	98684	0	0.990661	-0.578588	0.739669
1	152192	176177	0	-0.408594	-0.617225	0.403162
1	124388	71462	0	-0.569798	0.0105597	0.242874
1	95857	23621	0	-0.945797	0.996032	0.982421
1	75109	309897	0	0.220106	-0.128182	0.976012
1	248356	337034	0	0.0043948	-0.0167247	0.134469
1	320538	380016	0	0.304584	-0.00671428	0.137276
1	246042	232306	0	-0.302326	-0.782457	0.443997
1	166134	138895	0	0.227553	-0.333394	0.706586
1	18649	124588	0	-0.792346	-0.7979	0.354453
1	249989	293380	0	-0.48886	-0.921992	0.492279
1	234856	366441	0	0.703534	-0.318013	0.999878
1	36244	287130	0	-0.582006	-0.189526	0.258378
1	205861	154484	0	-0.235366	0.956296	0.493316
1	129765	236176	0	0.803028	0.639626	0.281694
1	207608	334531	0	0.781115	-0.749802	0.0994323
1	160280	79665	0	0.0452298	0.152292	0.253861
1	182980	154960	0	-0.809681	-0.615455	0.080083
1	66453	367589	0	-0.757737	0.14045	0.170298
1	136673	118900	0	0.798022	0.511872	0.396814
1	123616	216241	0	0.196484	-0.318623	0.971922
1	28416	117630	0	0.939633	-0.864311	0.131112
1	258134	379699	0	-0.523469	0.553684	0.493377
1	64593	41004	0	0.0508454	0.222731	0.687725
1	190694	157377	0	0.249588	-0.594214	0.96356
1	229252	305392	0	0.538607	0.221571	0.838186
1	285020	237141	0	-0.107612	0.149423	0.148324
1	211408	264961	0	-0.0383935	-0.534334	0.677715
1	179406	208319	0	0.865592	0.624977	0.484282
1	68	129776	0	0.67448	-6.10389e-005	0.871147
1	288673	20715	0	0.212232	-0.0427272	0.458097
1	167858	51893	0	-0.48764	0.595923	0.396386
1	20566	162932	0	0.578527	0.409083	0.304401
1	222729	110464	0	0.0535311	-0.151254	0.605139
1	333743	37464	0	-0.906488	-0.783739	0.0693402
1	299450	277645	0	-0.268632	-0.966062	0.0668986
1	248367	170427	0	0.0460233	-0.901117	0.46121
1	99794	129105	0	-0.157724	-0.906305	0.58695
1	8825	159477	0	-0.704328	0.126412	0.949826
1	122141	126041	0	-0.458768	0.969603	0.246414
1	110185	87099	0	-0.978026	-0.362998	0.515229
1	217659	190411	0	0.502472	-0.246719	0.55173
1	136208	354295	0	0.974547	0.213087	0.543551
1	120190	270699	0	0.284258	-0.962827	0.0477934
1	91433	175859	0	-0.885247	-0.456937	0.872734
1	368887	102615	0	0.83312	0.661356	0.303241
1	97286	169096	0	0.669169	-0.382592	0.150949
1	280199	257429	0	-0.765122	-0.972349	0.256058
1	224295	215814	0	0.392724	-0.652628	0.737106
1	369068	290072	0	0.0326558	0.532259	0.770005
1	78183	331369	0	0.542697	-0.375389	0.593115
1	324713	48	0	-0.586278	-0.303241	0.151926
1	232633	284517	0	0.900201	0.292804	0.251663
1	23743	150285	0	0.592688	0.529329	0.548617
