Charge	X	Y	Z	V-X	V-Y	V-Z
1	229729	257576	0	0.745224	0.748947	0.969542
1	25932	181048	0	0.985656	0.521333	0.856559
1	234289	111038	0	0.456021	-0.53055	0.0741012
1	159044	294845	0	0.81554	-0.647134	0.602759
1	194766	117105	0	-0.348898	-0.363059	0.478362
1	271044	39796	0	-0.439175	0.804676	0.842703
1	207744	271907	0	0.60691	0.251114	0.248917
1	317566	117923	0	-0.565281	0.633767	0.239272
1	239201	18689	0	0.29964	0.631875	0.30202
1	53362	373766	0	-0.897516	-0.531649	0.161082
1	12932	153642	0	-0.157602	-0.602149	0.533236
1	360651	32483	0	0.212171	0.911555	0.282976
1	79476	309408	0	0.222365	-0.717146	0.282122
1	279870	324314	0	0.449307	-0.883599	0.639932
1	187654	171440	0	0.664408	0.2162	0.573399
1	179350	372875	0	-0.606482	0.666728	0.639199
1	265361	58510	0	-0.279009	0.662882	0.26851
1	209797	204144	0	-0.908198	-0.265153	0.947201
